英文|解释
suit| n. 套装, 诉讼, 请求 & v. 适合, 取悦, 满足
spend| v. (spent,spent) 花费,浪费,度过
afternoon| n. 下午 & int.下午好
brown| adj. 褐色的,棕色的 & n. 褐色,棕色 & (姓)布朗
ourselves| pron. 我们自己
operator| n. 操作员,管理者,技工,报务员
Paris| n. 巴黎
type| n.类型； 铅字； （印刷或打印的）文字； 于…类型的 & vt. vi.打字 & vt.[医学]测定（血型）； 按类型把…归类； 成为…的典型； [印刷]浇铸（铅字等）
truth| n. 事实,确实,真理,现实
pear| n. 梨(树)
overtake| v. 赶上, 突然来袭, 压倒
fat| adj. 肥胖的,厚的,大的,大量的,丰厚的,愚蠢的 & n. 脂肪,动植物油,精华,肥胖,过剩 & vt. 使变胖 & vi. 变胖
please| int. 请 & vt. 取悦,请,合心意 & vi. 取悦,愿意
card| n. 卡片,纸牌,名片,打牌,节目单 & vt. 附上或提供卡片,印卡,在卡片上列出,检查资格
smile| n. 微笑,喜色 & vt. 微笑,微笑地表示, 以微笑完成 & vi. 微笑, 赞许, 一笑而过
climb| vt. vi. 攀登,上升,爬 & n. 攀登(处)
teaspoonful| n. 一茶匙容量
winter| n. 冬天,年,萧条期 & adj. 冬天的,冬季生长的 & vt. vi. 过冬
voice| n. 声音,嗓音,呼声,歌唱才能 & vt. 表达,调整声音,发音
turkey| n. (Turkey)土耳其,火鸡,笨蛋,失败之作
Moscow| n. 莫斯科(俄罗斯首都)
at least| 至少
cabbage| n. 卷心菜,洋白菜
pilot| n. 飞行员,领航员,引航员 & vt. 领航,驾驶,向导 & adj. 引导的,示范的
pure| adj. 纯的, 纯洁的, 纯理论的, 抽象的, 完全的
among| prep. 在...之中
price| n. 价格,代价,价值 & vt. 定格,标价,比较价格
Thai| n. 泰国人，泰国语 & adj. 泰国（人）的
London| n. 伦敦
regularly| adv. 定期地,有规律地
tooth| n. 牙齿
Finland| n. 芬兰（欧洲国名）
evening| n. 傍晚, 晚上
hammer| n. 锤,榔头 & vi. 锤击,反复敲打 & vt. 锤打,严厉批评
table| n. 桌子, 平地层, 石板, 表格 & vt. 搁置, 嵌合, 制表 & adj. 桌子的
shop assistant| n. 店员
assistant| adj. 助理的；辅助的。 & n. 助手助理；助教，店员
friend| n. 朋友,赞助者,支持者 & vt. 做朋友,对人友好
Bombay| n. 孟买（印度中西部城市）
pack| n. 包裹,一群,一副,一帮,一群 & vt. 包装,捆扎,塞满, 收拾行李， 佩戴 & vi. 包装，（用某物）保存，保藏 ,塞进
bird| n. 鸟,家禽,陶土飞靶,伙伴 & vi. 观察或辨认鸟
worth| adj.值得的； 有…的价值； 等值的； 有…的财产 & n.财富，财产； 价
pardon| n. 原谅,赦免 & vt. 宽恕,原谅
paint| n. 油漆,颜料,绘画作品 & vt. vi. 油漆,绘画
grey| adj. 灰色的 & n. 灰色(的) & v. 变成灰色 [=gray] & vi. 变成灰色
beauty spot| 痣，皮肤斑，美人斑 & 风景点，风景胜地
beauty| n. 美,美丽,美人,美的东西
spot| n. 污点, 地点, 斑点; 职位 & adj. 当场的, 现实买卖的 & v. 使沾上污点, 认出, 用灯光照射
like| adj. 相似的,同样的 & vt. vi. 喜欢,愿意,想 & prep. 像,如同 & n. 爱好,类似的人（或物） & adv. 大概,和…一样 & conj. 如同
dog| n. 狗,卑鄙的人 & vt. 尾随,跟踪
match| n. 比赛, 火柴, 对手, 般配的人, 配偶 & v. 使...相配, 与...竞争, 相配
sell| vi. 卖,促销 & vt. 出让,背叛,出卖,出售 & n. 欺骗
yellow| adj. 黄色的 & n. 黄色
cost| n.价钱，代价； 花费，费用； 牺牲； [用复数][法律]诉讼费 & vi.价钱为，花费； 估计成本 & vt.付出代价； 估价； 使丧失； 使付出努力
buy| n. 合理的价格,购买 & vt. 买,换得,收买,接受 & vi. 购买
belong| vi. 属于，适合于
dressing table| 梳桩台，镜台，化妆台
dressing| n. 穿衣，打扮，敷料，包扎，调料，填料，肥料 dress的现在分词
biscuit| n. 饼干，姜黄褐色
teapot| n. 茶壶
Nigeria| n. 尼日利亚
shopping| n. 购物，买东西 & 动词shop的现在分词形式
address|n. n.地址； 通信处； 演说； 称呼
tree| n. 树
ford| n. 浅滩 & v. 涉过, 涉水 & Ford：福特汽车，福特（人名）
ring| n. 环, 戒指, 铃声, 圈 & vt. 包围, 挂铃铛 & vi. 鸣响, 回响, 在空气中螺旋上扬, 形成圈
engineering| n. 工程(学),工程技术
this| adj. pron. 这,这个
sir| n. 先生
eat| vt. 吃,消耗 & vi. 吃,侵蚀 & n. 食物
who| prep. …的, 谁, 他, 她, 他们 & pron. 谁
need| n. 需要,必须,缺乏 & v. 需要,必需 & conj. 需要
less| adj. 更少的,更小的 & adv. 更少地,更小地 & n. 少量, 次要 & prep. 减
high| adj.高的,轻微变质的,高尚的,严重的,强的 & adv. 高,好 & n. 高地,天堂,高气压,高度,兴奋
cry| n. 叫,哭,喊,口号,叫卖声,普遍意见 & vt. 大声叫喊,宣传,哭得... & vi. 哭,叫,喊,强烈要求
tin| n. 锡,马口铁,罐 & vt. 在...上镀锡
New York| n. 纽约（美国城市）
Tokyo| n. 东京(日本首都)
recognize| vt. 认出,认可,承认,意识到,表示感激
appointment| n. 约会, 预约, 任命, 委派, 官职, 设备
tall| adj. 高的
large| adj. 广泛的,大的,强烈的 & adv. 普遍地, 大量地
either| pron. 任一的 & conj. 或, 也 & adj. 任一, 两方的 & adv. 也
ask| vt. 询问, 请求，要求，开价 & vi. 询问，恳求
Poland| n. 波兰（欧洲国名）
steak| n. 牛排
usually| adv. 通常
kitchen| n. 厨房
stupid| adj. 愚蠢的,笨拙的，麻木的，无趣味的 & n. 傻瓜
valley| n. 山谷；流域；溪谷
shop| n. 商店 & vi. 购物,寻找 & vt. 购物,逛商店
together| adv. 一起，共同，相结合，同时地，协调地 & adj. 头脑清楚的，镇定的
apple| n. 苹果
film| n. 电影, 胶卷, 薄膜 & vt. 把...拍成电影, 给...覆上一薄层 & vi. 从事电影拍摄
slip| vi.滑，滑脱； 犯过失，出错； （时间）不知不觉地过去； （健康状况等）变差 & vt.使顺利滑动； 摆脱； 放松，松开 & n.跌倒，失足； 纸条； 失误，口误； 事故 & adj.滑动的； 可拆卸的； 打有活结的
spring| n. 春天, 弹簧, 弹跳, 泉水, 投射 & vt. 弹起, 使喷涌, 越过, 弹出, 释放, 发生, 跳, 裂开 & vi. 射出, 涌入(出), 发芽, 长高
pen| n. 钢笔 & v. 圈进
never| adv. 从不,绝不
colour| n. 颜色 & v. 给...着色,染 & vt. 给...着色
headache| n. 头痛
during| prep. 在...期间
grass| n. 草 & vt. 以牧草喂养,覆盖着草
floor| n. 地板,楼层,底部,地面,议员,底线 & vt. 铺地板,击倒,油门踩到底
keyboard| n. 键盘 & vt. 用键盘输入(信息)
January| n. 一月
tie| n. 结,束缚,不分胜负,(领)带 & vt. 系,约束,捆绑 & vi. 打结,连结
with| prep. 和...一起,用, 随着, 包括
man| n. 男人,人类,人 & vt. 为...配备人手,使...振奋
idea| n. 主意, 想法, 观念
writing paper| n. 写字纸，信纸
writing| n. 著述, 笔迹, 作品 & vbl. 写, 著述
paper| n. 纸,文件,论文,报纸,票据 & vt. 用纸包,供纸,仓促完成 & vi. 贴壁纸 & adj.纸制的,文书的,理论上的
chicken| n. 鸡,鸡肉,胆小,懦夫 & adj. 懦弱的,胆小的
shine| n. 光泽, 阳光, 光辉, 喜欢 & vt. 使发光, 照射在...上, 擦亮 & vi. 发光, 表现出众, 闪耀着
future| adj. 将来的 & n. 将来,未来 & n. 期货
correct| adj. 正确的 & v. 改正,纠正 & vt. 改正
shelf| n. 架子,搁板(状物),岩棚
toothache| n. 牙痛
Finnish| n. 芬兰人，芬兰语 & adj. 芬兰人的，芬兰语的
least| adj. 最少的,最小的 & n.amp;adv. 最少,最小
line| n. 行,线,航线,场界,皱纹,家族 & vt. vi. 用做衬里,排成一行,顺...排列 & vi. 排成一行,顺...排列,划线于
hate| n. 憎恨,厌恶,厌恶的人或事 & vt. 憎恨,不愿 & vi. 表示憎恨
Chinese| adj. 中国的 & n. 汉语,中国人
five| num. 五 & pron.amp;adj. 五(个,只...)
sit down| 坐下
sit| vt. 坐,担任,开会,孵 & vi. 坐,孵 & n. 坐
down| adj. 向下的,降低的,情绪低落,停止运行 & adv. 向下的,下跌,在南方 & n. 绒毛,汗毛,轻视 & prep. 沿着...而下
middle-aged| adj. 中年的
middle| n.中部，中间； 腰部； 中央； 正中 & adj.中部的； 中央的； 正中的； 中间的 & vt.把…放在中间； 把…对折 & vi.放在中间； 对折
of course| 当然
of| prep. …的,出生于,住在, 关于
course| n. 课程, 讲座, 过程, 路线, 一道(菜)
Canada| n. 加拿大
always| adv. 总是
dry| adj. 干的，干燥的,干旱的，不行于色的，枯燥无味的，无酒的，口渴的 & vt. 把...弄干 & vi. （使）变干
thanks| int. 谢谢 & n. 谢谢(只用复数)
top| n. 顶端, 极点, 盖子, (女式)上衣, 最高地位, 陀螺 & adj. 最高的, 顶上的, 最一流的 & vt. 高耸, 加以顶盖, 超越, 上升到顶端 & vi. 得出结论, 到达顶峰
whose| pron. 谁的
city| n. 城市
phrase| n. 短语,习语,个人风格,乐句 & vt. 措词表达,将(乐曲)分成乐句(来演奏)
sales reps| 推销员 & 名词sales rep的复数
sale| n. 销售(量),削价出售
rep| n. 代表，销售代表
guy| n. (男)人,家伙,拉索 & vt. 嘲笑
advice| n. 忠告，建议，劝告
new| adj. 新的,附加的 & adv. 新的
in| prep. 在,在...之内, 穿着,（表示状态或状况）,参与，在…方面
parrot| n. 鹦鹉, 盲目重复或模仿他人行为的人 & vt. 学舌, 盲目重复或模仿
stand up| v. 起立，（论点、论据等）站得住脚的，经久耐用
stand| n. 站立,停顿,楼台,货摊 &  & vi. 站立,位于，停滞 &  & vt. 忍受,使站立
up| adv. 向上,增加,用尽,完全,储存,靠近 & adj. 向上的,直立的,完成的,高兴的,在进行的 & prep. 向上,迎着 & n. 上司,上坡,繁荣,上面 & vt. 升起,增加 & vi. 上升
cooker| n. 炊具，炉灶
warm| adj. 暖和的,快要发现的,热心的,新鲜的 & vt. vi.(使)变暖，（使）变得更友好, 加温 & adv. 温暖地
sorry| adj.对不起的； 无价值的，低等的； 遗憾的； 感到伤心的
already| adv. 已经
armchair| n. 扶手椅，单人沙发，安乐椅 & adj.不切实际的
road| n. 路
son| n. 儿子
can| aux. 能,可以 & n. 罐头 & vt. 罐装 & vt. 炒某人鱿鱼
neither| adj. 皆不,两者都不 & int. 两者都不 & conj. 既非,既不
beer| n. 啤酒
key| adj. 主要的,关键的 & n. 钥匙,关键,答案,按键,音调 & vt. 上锁,调节,提供解答,键入 & vi. 使用钥匙
worry| n. 烦恼,忧虑,苦恼 & vt. 使...烦恼,使...焦虑, 叼住某物甩或拉 & vi. 感到苦恼,感到焦虑
get on| 上车
get| vt. 使得；获得；受到；变成 & vi. 成为；变得；到达
on| prep. 在...之上,由…支撑着,在（某一天）,使用, 根据 & [计算机] 开 & adv.穿着,向前（移动),（表示持续性） & adj. 表示已连接、处于工作状态或使用中,表示发生,值班 & abbr.=Ontario
season| n. 季节,时期,旺季，上演期 & vt. 加调味料调味,使...适用于 & vi. 使…被调味，
dairy| adj. 牛奶的 & n. 牛奶场, 乳品店, 乳制品
polish| n. 磨光，擦亮；擦亮剂；优雅，精良 & vi. 擦亮，变光滑 & vt. 磨光，使发亮；使完美; 改进 & v. 磨光；修改；润色 & adj. 波兰的
wood| n.木材； 树林； 木制品 & vi.收集木材 & vt.在…植树造林； 给…添加木柴 & adj.木制的； 失去理智的
shut| adj. 关闭的,合拢的,围绕的 & vt. 关上，防止进入，禁闭，合上，停止或中止 & vi. 关闭，停止或中止 & n. 关闭
Seoul| n. 首尔（旧称汉城，韩国首都）
October| n. 十月
stay| n. 停留,停止;依靠,忍耐力;撑条 & vt. 等待,坚持到底 & vi. 保持,停留,留宿
officer| n. 官员,军官 & vt. 提供官员,指挥
banana| n. 香蕉
rubbish| adj. 毫无价值的 & n. 废话,垃圾,废物
photograph| n. 相片 & vi. 照相,摄影 & vt. 给...照相
surround| n. 环绕物 & vt. 包围,环绕
list| n.清单，目录； 倾斜； 布边，布头； 狭条 & vt.列出，列入； 把…编列成表； 记入名单内 & vi.列于表上
vase| n. 花瓶
rest| n.休息； 剩余部分； 支持物； 宁静，安宁 & vt. vi.（使）休息； （使）倚靠[支撑] & vi.休息； 静止； 停止； 安心 & vt.使休息； 使轻松； 使长眠； 使依赖
orange| adj. 橙色的 & n. 橘子,橙黄色
race| n. 种族, 赛跑 & v. 赛跑, 竞赛 & n. 人种；种族
remember| vt. vi. 记得,记忆
Scotland| n. 苏格兰
mother| n. 母亲 & adj. 母亲的,母体的 & vt. 生育,像母亲一样关爱
short| adj. 短的,矮的,短暂的  & n. 短裤 & adv. 短暂地;突然地
electric| adj. 电的,令人激动的,鲜亮的 & n. 供电
Spain| n. 西班牙
soft| adj. 柔软的,温和的,不强烈的,细腻的,轻的 & adv. 柔软地,温和地 & n. 柔软的东西
student| n. 学生
thirsty| adj. 口渴的, 渴望的
bar| n. 条,棒,横木,酒吧 & vt. 禁止,阻挠
pound| n.英镑； 磅； 兽栏； 重击声 & vt. vi.连续重击； 咚咚地走 & vi.（持续地）苦干； （驾舟时）拍打（水面）； （心脏）狂跳； 脚步沉重地走（或跑） & vt.连续重击； 捣碎，碾碎； 强迫吸收； 猛烈袭击
hot| adj. 热的,热情的,辣的,性感的 & adv. 激动地,快速地 & n. 最高温度,滚烫的东西
note| n. 笔记, 注解, 备忘录, 音符, 音调, 票据, 便条, 纸币 & vt. 记录, 注解, 注意
look| n. 看, 神色, 样子, 脸色 & vi. 看, 注意, 朝着, 好象, 显得 & vt. 打量, 注视, 用眼神或脸色表示, 期待
piece| n. 块,片,篇 & vt. 修补,结合
absent| adj. 缺席的,缺少的 & vt. 使缺席
